,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
44,2020-05-18,178.65296500412492,83.21028974668052,258.99573988897794,178.65296500412492,178.65296500412492,-5.8742788748659915,-5.8742788748659915,-5.8742788748659915,-5.8742788748659915,-5.8742788748659915,-5.8742788748659915,0.0,0.0,0.0,172.77868612925894
45,2020-05-19,180.44848652761797,91.9113943191761,262.14178355942784,180.44848652761797,180.44848652761797,-2.4140343528679775,-2.4140343528679775,-2.4140343528679775,-2.4140343528679775,-2.4140343528679775,-2.4140343528679775,0.0,0.0,0.0,178.03445217475
46,2020-05-20,182.24400805111102,93.19714529121632,266.6759899375998,182.24400805111102,182.24400805111102,-3.5074895391264747,-3.5074895391264747,-3.5074895391264747,-3.5074895391264747,-3.5074895391264747,-3.5074895391264747,0.0,0.0,0.0,178.73651851198454
47,2020-05-21,184.03952957460402,95.40926986026727,267.63959922357003,184.03952957460402,184.03952957460402,-3.855635099998158,-3.855635099998158,-3.855635099998158,-3.855635099998158,-3.855635099998158,-3.855635099998158,0.0,0.0,0.0,180.18389447460586
48,2020-05-22,185.83505109809707,89.78238200004884,257.266840123589,185.83505109809707,185.83505109809707,-7.76138543760598,-7.76138543760598,-7.76138543760598,-7.76138543760598,-7.76138543760598,-7.76138543760598,0.0,0.0,0.0,178.0736656604911
49,2020-05-26,193.0173255648894,108.63210940731325,276.30890494235143,193.0173255648894,193.0173255648894,-2.414034352860183,-2.414034352860183,-2.414034352860183,-2.414034352860183,-2.414034352860183,-2.414034352860183,0.0,0.0,0.0,190.60329121202923
50,2020-05-27,194.81289418158747,106.54919947431289,274.1996490649354,194.81289418158747,194.81289418158747,-3.507489539127659,-3.507489539127659,-3.507489539127659,-3.507489539127659,-3.507489539127659,-3.507489539127659,0.0,0.0,0.0,191.30540464245982
51,2020-05-28,196.60846279828553,101.7945761703992,272.5233107565664,196.60846279828553,196.60846279828553,-3.8556350999658333,-3.8556350999658333,-3.8556350999658333,-3.8556350999658333,-3.8556350999658333,-3.8556350999658333,0.0,0.0,0.0,192.7528276983197
52,2020-05-29,198.4040314149836,99.55953500825674,277.6378670250532,198.4040314149836,198.4040314149836,-7.761385437642825,-7.761385437642825,-7.761385437642825,-7.761385437642825,-7.761385437642825,-7.761385437642825,0.0,0.0,0.0,190.64264597734078
53,2020-06-01,203.79073726507784,107.2595987258638,285.2140984647712,203.79073726507784,203.79073726507784,-5.8742788748719885,-5.8742788748719885,-5.8742788748719885,-5.8742788748719885,-5.8742788748719885,-5.8742788748719885,0.0,0.0,0.0,197.91645839020586
